You may check your phone’s screen time settings for a more accurate estimate. Round to the nearest whole number - Number of hours",What are your top 3 reasons for using media (other than messaging)? (Select 3) - Selected Choice,What are your top 3 reasons for using media (other than messaging)? (Select 3) - Other (please specify): - Text,I browse my social media feed to see posts and updates from others.,"I view other users' profiles and the content they share. (e.g., influencers, friends, celebrities)",I read comments on other people’s posts.,"I watch stories, reels, shorts, or similar content posted by others.",I create my own original content for social media.,"I post photos, videos, stories, or other content on social media.","I share, repost, or recommend content to others.","I comment on, reply to, or interact with other people’s posts.",Which of the following statements best describes how much you know about deepfakes?,This is an attention check. Please select ‘Unlikely.’,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,"I know how to use search engines (e.g., Google, Bing, etc.) to find the information I need online.","I understand the political, economic, and social meanings behind media content.",I understand the different opinions and perspectives shared by others in the media.,"Beyond basic phone use, I use hardware (e.g., camera, microphone, lighting, etc.) and/or software (e.g., photo editing apps, Adobe, CapCut, Canva, Audacity, etc.) to create or edit social media content.","I regularly share posts, photos, videos, or other content on social media.","I regularly interact with other users by commenting on, replying to, or reacting to their posts.","I share my opinions and/or participate in online discussions in ways that can influence, inform, or 
challenge the thoughts of other people.","When I post or comment online, I try to consider different viewpoints about the 
topic.",I interact and/or collaborate with different people online to share ideas or achieve a common goal.,I compare information from different sources before deciding what to believe.,"I think critically about media content by comparing it with my own knowledge, opinions, and 
experiences.","I evaluate whether information in the media is accurate, reliable, and trustworthy.","I believe that [social media platform] takes users’ exposure to misinformation seriously.

07/07/2026 05:40,07/07/2026 06:18,0,100,2323,1,07/07/2026 06:18,R_4D1qTo9kPy6SnTU,anonymous,EN,,,"1,2,3",2,20,2,7,4,3,3,3,2,1,3,"1,2,3,4,5,10",8,"1,3,9",,3,3,2,4,3,3,5,3,5,2,2,5,1,4,2,3,2,3,1,4,1,3,1,4,1,3,5,5,5,5,3,4,4,5,3,5,4,5,1,2,2,2,5,5,5,5,7,7Custom Value
07/07/2026 04:26,07/07/2026 08:01,0,100,12923,1,07/07/2026 08:01,R_9nSIT4MPtd4mXFx,anonymous,EN,,,"1,2,3",2,24,5,5,4,4,3,4,2,3,4,"1,4,8,9",5,"5,6,9",,4,3,4,4,1,2,3,2,3,2,2,3,1,2,1,3,2,3,1,2,2,2,2,2,2,3,4,4,3,2,4,4,3,4,2,4,4,4,1,1,1,3,4,4,4,5,3,3Custom Value
07/07/2026 09:40,07/07/2026 09:56,0,100,932,1,07/07/2026 09:56,R_4HcnQYf81vUCxCq,anonymous,EN,,,"1,2,3",2,22,3,9,2,4,3,3,4,3,4,"1,4,6,7,8,9,10",2,"3,7,10",,4,4,3,4,2,2,3,2,3,2,2,3,1,3,2,4,2,2,1,4,1,4,1,3,2,2,5,4,4,5,3,2,2,4,3,4,5,4,3,3,4,3,4,3,2,4,6,6Custom Value
07/07/2026 10:07,07/07/2026 10:16,0,100,549,1,07/07/2026 10:16,R_9rvliwsAEPn8iD8,anonymous,EN,,,"1,2,3",3,19,2,1,4,5,3,5,4,3,5,"1,3,4,5,7,9,10",12,"1,9,10",,5,1,1,3,2,2,4,3,4,2,2,3,1,2,1,2,2,3,1,4,1,2,1,3,1,2,5,5,5,4,4,2,4,4,4,5,4,4,1,2,1,4,5,5,4,5,6,6Custom Value
07/07/2026 09:51,07/07/2026 10:21,0,100,1814,1,07/07/2026 10:21,R_9lmlJepg1FPq6le,anonymous,EN,,,"1,2,3",2,21,2,11,4,3,3,3,3,4,3,"1,3,4,6,8,9",3,"3,5,6",,3,2,2,2,2,2,2,2,4,2,2,3,2,5,1,3,2,5,1,4,1,3,1,5,1,3,5,5,5,5,2,2,2,3,3,5,5,5,4,3,2,2,4,4,2,4,7,7Custom Value
08/07/2026 07:05,08/07/2026 07:29,0,100,1430,1,08/07/2026 07:29,R_9P6In8471Vm089r,anonymous,EN,,,"1,2,3",1,21,3,1,,3,4,3,3,3,4,"1,3,4,6,7,8,9,10",5,"1,3,7",,4,3,2,4,4,4,3,2,4,2,2,4,2,2,2,2,2,3,1,2,1,2,2,2,1,2,5,5,5,5,5,4,4,4,3,5,4,5,1,1,2,3,5,5,4,5,7,7Custom Value
08/07/2026 08:31,08/07/2026 08:47,0,100,920,1,08/07/2026 08:47,R_9resnPHufbxTDur,anonymous,EN,,,"1,2,3",1,19,1,2,,3,2,4,4,3,1,"1,4,6,9,10",6,"5,7,9",,5,4,3,5,3,3,4,4,4,2,2,5,1,3,1,3,2,4,1,5,1,3,1,5,1,3,5,5,5,5,4,5,5,4,5,4,5,4,1,2,4,3,3,5,5,5,6,6Custom Value
09/07/2026 12:50,09/07/2026 12:56,0,100,400,1,09/07/2026 12:56,R_9HoVroHU9rGoPG4,anonymous,EN,,,"1,2,3",2,20,2,3,,5,4,5,3,3,5,"1,2,4,7,8",8,"6,7,8",,5,5,5,5,5,5,5,4,4,2,2,4,1,2,2,5,2,5,1,4,1,2,2,5,1,2,5,5,5,5,5,5,4,5,5,5,5,5,5,3,2,2,4,3,4,5,6,6Custom Value
09/07/2026 12:50,09/07/2026 12:57,0,100,392,1,09/07/2026 12:57,R_98R73QP83SKttpn,anonymous,EN,,,"1,2,3",1,21,3,5,,5,4,5,5,4,4,"1,2,3,4,5,6,7,8,9",12,"7,8,10",,3,5,5,5,4,4,4,3,4,2,1,5,1,5,2,2,2,2,1,4,1,2,2,2,1,4,5,5,5,5,5,5,5,4,5,5,5,5,2,5,4,1,5,5,3,5,5,5Custom Value
09/07/2026 12:51,09/07/2026 12:57,0,100,370,1,09/07/2026 12:57,R_4uQmMqCaU9e8sF7,anonymous,EN,,,"1,2,3",1,21,3,3,,4,3,4,4,4,4,"1,2,3,4,5,6,7,8,9,10",6,"1,2,3",,4,4,4,4,4,4,4,4,4,2,2,3,1,4,2,3,1,2,1,2,1,3,2,4,1,2,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5Custom Value
